No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason,Buying power,Fees,ROI
1,8/1/2025,9/12/2025,298,296.86,202.59,234.07,expired,3800,1.14,7.81
2,8/4/2025,9/19/2025,317,315.86,202.49,245.5,expired,3800,1.14,8.31
3,8/5/2025,9/19/2025,425,423.86,202.92,245.5,expired,3900,1.14,10.87
4,8/6/2025,9/19/2025,402,400.86,213.97,245.5,expired,4100,1.14,9.78
5,8/7/2025,9/19/2025,360,358.86,220.1,245.5,expired,4200,1.14,8.54
6,8/8/2025,9/19/2025,390,388.86,229.26,245.5,expired,4400,1.14,8.84
7,8/11/2025,9/26/2025,327,325.86,227.16,255.46,expired,4300,1.14,7.58
8,8/12/2025,9/26/2025,382,380.86,229.34,255.46,expired,4400,1.14,8.66
9,8/13/2025,9/26/2025,269,267.86,234.05,255.46,expired,4400,1.14,6.09
10,8/14/2025,9/26/2025,277,275.86,232.96,255.46,expired,4400,1.14,6.27
11,8/15/2025,9/26/2025,291,289.86,231.68,255.46,expired,4400,1.14,6.59
12,8/18/2025,9/26/2025,286,284.86,231.39,255.46,expired,4400,1.14,6.47
13,8/19/2025,9/26/2025,305,303.86,230.3,255.46,expired,4400,1.14,6.91
14,8/20/2025,9/26/2025,268,266.86,226.7,255.46,expired,4300,1.14,6.21
15,8/21/2025,10/3/2025,365,363.86,224.74,258.02,expired,4300,1.14,8.46
16,8/22/2025,10/3/2025,255,253.86,227.94,258.02,expired,4300,1.14,5.9
17,8/25/2025,10/3/2025,264,262.86,227.69,258.02,expired,4300,1.14,6.11
18,8/26/2025,10/17/2025,320,318.86,228.4,252.29,expired,4300,1.14,7.42
19,8/27/2025,10/17/2025,382,380.86,230.59,252.29,expired,4400,1.14,8.66
20,8/28/2025,10/10/2025,274,272.86,232.95,245.27,expired,4400,1.14,6.2
21,8/29/2025,10/10/2025,276,274.86,232.68,245.27,expired,4400,1.14,6.25
22,9/2/2025,10/17/2025,400,398.86,229.05,252.29,expired,4400,1.14,9.06
23,9/3/2025,10/17/2025,286,284.86,237.77,252.29,expired,4500,1.14,6.33
24,9/4/2025,10/17/2025,252,250.86,238.84,252.29,expired,4500,1.14,5.57
25,9/5/2025,10/17/2025,312,310.86,239.91,252.29,expired,4600,1.14,6.76
26,9/8/2025,10/24/2025,280,278.86,237.72,262.82,expired,4500,1.14,6.2
27,9/9/2025,10/24/2025,261,259.86,233.6,262.82,expired,4400,1.14,5.91
28,9/10/2025,10/24/2025,315,313.86,226.5,262.82,expired,4300,1.14,7.3
29,9/11/2025,10/24/2025,301,299.86,230.2,262.82,expired,4400,1.14,6.81
30,9/12/2025,10/24/2025,233,231.86,233.81,262.82,expired,4400,1.14,5.27
31,9/15/2025,10/31/2025,410,408.86,235.73,270.37,expired,4500,1.14,9.09
32,9/16/2025,10/31/2025,330,328.86,238.94,270.37,expired,4500,1.14,7.31
33,9/17/2025,10/31/2025,315,313.86,238.81,270.37,expired,4500,1.14,6.97
34,9/18/2025,10/31/2025,335,333.86,237.76,270.37,expired,4500,1.14,7.42
35,9/19/2025,10/31/2025,412,410.86,245.03,270.37,expired,4700,1.14,8.74
36,9/22/2025,10/31/2025,425,423.86,255.93,270.37,expired,4900,1.14,8.65
37,9/23/2025,10/31/2025,340,338.86,254.14,270.37,expired,4800,1.14,7.06
38,9/24/2025,10/31/2025,375,373.86,251.56,270.37,expired,4800,1.14,7.79
39,9/25/2025,11/7/2025,497,495.86,256.12,268.47,expired,4900,1.14,10.12
40,9/26/2025,11/7/2025,335,333.86,255.13,268.47,expired,4800,1.14,6.96
41,9/29/2025,11/7/2025,325,323.86,254.2,268.47,expired,4800,1.14,6.75
42,9/30/2025,11/21/2025,410,408.86,254.11,271.49,expired,4800,1.14,8.52
43,10/1/2025,11/21/2025,517,515.86,255.41,271.49,expired,4900,1.14,10.53
44,10/2/2025,11/14/2025,410,408.86,257.46,272.41,expired,4900,1.14,8.34
45,10/3/2025,11/14/2025,382,380.86,258.1,272.41,expired,4900,1.14,7.77
46,10/6/2025,11/21/2025,460,458.86,257.01,271.49,expired,4900,1.14,9.36
47,10/7/2025,11/21/2025,445,443.86,256.54,271.49,expired,4900,1.14,9.06
48,10/8/2025,11/21/2025,395,393.86,258.16,271.49,expired,4900,1.14,8.04
49,10/9/2025,11/21/2025,380,378.86,253.63,271.49,expired,4800,1.14,7.89
50,10/10/2025,11/21/2025,497,495.86,246.69,271.49,expired,4700,1.14,10.55
51,10/13/2025,11/28/2025,420,418.86,248.33,278.85,expired,4700,1.14,8.91
52,10/14/2025,11/28/2025,457,455.86,247.02,278.85,expired,4700,1.14,9.7
53,10/15/2025,11/28/2025,402,400.86,249.38,278.85,expired,4700,1.14,8.53
54,10/16/2025,11/28/2025,495,493.86,247.03,278.85,expired,4700,1.14,10.51
55,10/17/2025,11/28/2025,427,425.86,253.13,278.85,expired,4800,1.14,8.87
56,10/20/2025,11/28/2025,410,408.86,263.6,278.85,expired,5000,1.14,8.18
57,10/21/2025,11/28/2025,395,393.86,263.04,278.85,expired,5000,1.14,7.88
58,10/22/2025,11/28/2025,410,408.86,257.56,278.85,expired,4900,1.14,8.34
59,10/23/2025,12/5/2025,292,290.86,259.95,278.78,expired,4900,1.14,5.94
60,10/24/2025,12/5/2025,377,375.86,263.29,278.78,expired,5000,1.14,7.52
61,10/27/2025,12/5/2025,400,398.86,267.73,278.78,expired,5100,1.14,7.82
62,10/28/2025,12/19/2025,440,438.86,268.9,273.67,expired,5100,1.14,8.61
63,10/29/2025,12/19/2025,435,433.86,269.63,273.67,expired,5100,1.14,8.51
64,10/30/2025,12/12/2025,460,458.86,271.4,278.28,expired,5200,1.14,8.82
65,10/31/2025,12/12/2025,370,368.86,272.08,278.28,expired,5200,1.14,7.09
66,11/3/2025,12/19/2025,375,373.86,268.04,273.67,expired,5100,1.14,7.33
67,11/4/2025,12/19/2025,330,328.86,270.26,273.67,expired,5100,1.14,6.45
68,11/5/2025,12/19/2025,330,328.86,269.28,273.67,expired,5100,1.14,6.45
69,11/6/2025,12/19/2025,317,315.86,271.02,273.67,expired,5100,1.14,6.19
70,11/7/2025,12/19/2025,360,358.86,268.46,273.67,expired,5100,1.14,7.04
71,11/10/2025,12/26/2025,340,338.86,268.8,273.4,expired,5100,1.14,6.64
72,11/11/2025,12/26/2025,294,292.86,275.63,273.4,expired,5200,1.14,5.63
73,11/12/2025,12/26/2025,327,325.86,273.9,273.4,expired,5200,1.14,6.27
74,11/13/2025,12/26/2025,380,378.86,273.35,273.4,expired,5200,1.14,7.29
75,11/14/2025,12/26/2025,357,355.86,272.95,273.4,expired,5200,1.14,6.84
76,11/17/2025,1/2/2026,435,433.86,266.7,271.01,expired,5100,1.14,8.51
77,11/18/2025,1/2/2026,412,410.86,267.92,271.01,expired,5100,1.14,8.06
78,11/19/2025,1/2/2026,362,360.86,269.51,271.01,expired,5100,1.14,7.08
79,11/20/2025,1/2/2026,457,455.86,266.75,271.01,expired,5100,1.14,8.94
80,11/21/2025,1/2/2026,425,423.86,271.58,271.01,expired,5200,1.14,8.15
81,11/24/2025,1/2/2026,360,358.86,276.85,271.01,expired,5300,1.14,6.77
82,11/25/2025,1/16/2026,437,-516.14,277.36,255.53,exercised,5300,6.14,-9.74
83,11/26/2025,1/9/2026,295,-274.14,278.21,259.37,exercised,5300,6.14,-5.17
84,11/28/2025,1/9/2026,323,-246.14,277.16,259.37,exercised,5300,6.14,-4.64
85,12/1/2025,1/16/2026,370,-1083.14,282.42,255.53,exercised,5400,6.14,-20.06
86,12/2/2025,1/16/2026,282,-1171.14,286.44,255.53,exercised,5400,6.14,-21.69
87,12/3/2025,1/16/2026,305,-1148.14,284.69,255.53,exercised,5400,6.14,-21.26
88,12/4/2025,1/16/2026,275,-678.14,280.02,255.53,exercised,5300,6.14,-12.8
89,12/5/2025,1/16/2026,264,-689.14,278.94,255.53,exercised,5300,6.14,-13
90,12/8/2025,1/23/2026,332,-1370.14,277.31,248.04,exercised,5300,6.14,-25.85
91,12/9/2025,1/23/2026,305,-1397.14,277.88,248.04,exercised,5300,6.14,-26.36
92,12/10/2025,1/23/2026,261,-1441.14,279.13,248.04,exercised,5300,6.14,-27.19
93,12/11/2025,1/23/2026,270,-1432.14,277.89,248.04,exercised,5300,6.14,-27.02
94,12/12/2025,1/23/2026,280,-1422.14,277.84,248.04,exercised,5300,6.14,-26.83
95,12/15/2025,1/30/2026,372,313.86,273.85,259.48,exercised,5200,6.14,6.04
96,12/16/2025,1/30/2026,327,268.86,275.09,259.48,exercised,5200,6.14,5.17
97,12/17/2025,1/30/2026,365,306.86,273.31,259.48,exercised,5200,6.14,5.9
98,12/18/2025,1/30/2026,387,328.86,272.56,259.48,exercised,5200,6.14,6.32
99,12/19/2025,1/30/2026,303,301.86,270.75,259.48,expired,5100,1.14,5.92
100,12/22/2025,1/30/2026,265,263.86,270.69,259.48,expired,5100,1.14,5.17
101,12/23/2025,1/30/2026,315,256.86,271.99,259.48,exercised,5200,6.14,4.94
102,12/24/2025,2/6/2026,285,283.86,274.87,278.12,expired,5200,1.14,5.46
103,12/26/2025,2/6/2026,311,309.86,273.68,278.12,expired,5200,1.14,5.96
104,12/29/2025,2/6/2026,312,310.86,273.66,278.12,expired,5200,1.14,5.98
105,12/30/2025,2/20/2026,405,403.86,273.06,264.58,expired,5200,1.14,7.77
106,12/31/2025,2/13/2026,370,-58.14,272.72,255.78,exercised,5200,6.14,-1.12
107,1/2/2026,2/13/2026,304,302.86,270.66,255.78,expired,5100,1.14,5.94
108,1/5/2026,2/20/2026,410,408.86,267.38,264.58,expired,5100,1.14,8.02
109,1/6/2026,2/20/2026,395,393.86,262.91,264.58,expired,5000,1.14,7.88
110,1/7/2026,2/20/2026,465,463.86,260.64,264.58,expired,5000,1.14,9.28
111,1/8/2026,2/20/2026,405,403.86,258.46,264.58,expired,4900,1.14,8.24
112,1/9/2026,2/20/2026,332,330.86,259.87,264.58,expired,4900,1.14,6.75
